% EPOCH OF MEASUREMENT
DATE LAT LON ELLHGT SDLAT SDLON SDHGT EAST NORTH UP
2015-03-05 13.735991211 100.533934814 74.302 0.0020 0.0049 0.0064	-0.000000 0.001217 0.006000
2015-03-06 13.735991219 100.533934814 74.298 0.0020 0.0030 0.0062	-0.000000 0.002102 0.002000
2015-03-07 13.735991200 100.533934831 74.302 0.0019 0.0028 0.0060	0.001839 0.000000 0.006000
2015-03-08 13.735991206 100.533934811 74.300 0.0019 0.0029 0.0060	-0.000324 0.000664 0.004000
2015-03-09 13.735991219 100.533934806 74.304 0.0019 0.0027 0.0060	-0.000865 0.002102 0.008000
2015-03-10 13.735991211 100.533934839 74.303 0.0019 0.0027 0.0060	0.002704 0.001217 0.007000
2015-03-11 13.735991203 100.533934814 74.307 0.0019 0.0028 0.0061	-0.000000 0.000332 0.011000
2015-03-12 13.735991206 100.533934817 74.299 0.0019 0.0029 0.0060	0.000324 0.000664 0.003000
2015-03-13 13.735991214 100.533934844 74.300 0.0020 0.0034 0.0064	0.003245 0.001549 0.004000
2015-03-14 13.735991189 100.533934861 74.302 0.0019 0.0028 0.0062	0.005083 -0.001217 0.006000
2015-03-15 13.735991192 100.533934853 74.301 0.0019 0.0028 0.0060	0.004218 -0.000885 0.005000
2015-03-16 13.735991189 100.533934861 74.303 0.0019 0.0028 0.0060	0.005083 -0.001217 0.007000
2015-03-17 13.735991178 100.533934856 74.309 0.0019 0.0028 0.0061	0.004543 -0.002434 0.013000
2015-03-18 13.735991178 100.533934864 74.311 0.0019 0.0029 0.0062	0.005408 -0.002434 0.015000
2015-03-19 13.735991164 100.533934856 74.302 0.0019 0.0029 0.0063	0.004543 -0.003983 0.006000
2015-03-20 13.735991167 100.533934839 74.299 0.0019 0.0029 0.0061	0.002704 -0.003651 0.003000
2015-03-21 13.735991169 100.533934875 74.297 0.0019 0.0033 0.0065	0.006598 -0.003430 0.001000
2015-03-22 13.735991175 100.533934853 74.298 0.0019 0.0030 0.0064	0.004218 -0.002766 0.002000
2015-03-23 13.735991175 100.533934853 74.294 0.0019 0.0029 0.0063	0.004218 -0.002766 -0.002000
2015-03-24 13.735991147 100.533934828 74.289 0.0019 0.0030 0.0063	0.001514 -0.005864 -0.007000
2015-03-25 13.735991142 100.533934872 74.309 0.0019 0.0029 0.0061	0.006273 -0.006417 0.013000
2015-03-26 13.735991175 100.533934842 74.304 0.0020 0.0032 0.0067	0.003028 -0.002766 0.008000
2015-03-27 13.735991158 100.533934842 74.305 0.0019 0.0036 0.0063	0.003028 -0.004647 0.009000
2015-03-28 13.735991200 100.533934881 74.306 0.0020 0.0032 0.0062	0.007247 0.000000 0.010000
2015-03-29 13.735991153 100.533934875 74.299 0.0019 0.0028 0.0062	0.006598 -0.005200 0.003000
2015-03-30 13.735991167 100.533934878 74.305 0.0020 0.0032 0.0067	0.006922 -0.003651 0.009000
2015-03-31 13.735991167 100.533934853 74.307 0.0019 0.0029 0.0063	0.004218 -0.003651 0.011000
2015-04-01 13.735991181 100.533934847 74.310 0.0020 0.0034 0.0065	0.003569 -0.002102 0.014000
2015-04-02 13.735991156 100.533934847 74.319 0.0021 0.0042 0.0066	0.003569 -0.004868 0.023000
2015-04-03 13.735991181 100.533934850 74.319 0.0020 0.0042 0.0065	0.003894 -0.002102 0.023000
2015-04-04 13.735991161 100.533934836 74.316 0.0021 0.0049 0.0064	0.002379 -0.004315 0.020000
2015-04-05 13.735991169 100.533934814 74.304 0.0021 0.0046 0.0064	0.000000 -0.003430 0.008000
2015-04-06 13.735991181 100.533934864 74.315 0.0022 0.0047 0.0069	0.005408 -0.002102 0.019000
2015-04-07 13.735991167 100.533934817 74.310 0.0023 0.0062 0.0079	0.000324 -0.003651 0.014000
2015-04-08 13.735991144 100.533934819 74.310 0.0023 0.0039 0.0066	0.000541 -0.006196 0.014000
2015-04-09 13.735991131 100.533934828 74.303 0.0018 0.0040 0.0059	0.001514 -0.007634 0.007000
2015-04-10 13.735991150 100.533934800 74.313 0.0018 0.0040 0.0060	-0.001514 -0.005532 0.017000
2015-04-11 13.735991147 100.533934828 74.292 0.0020 0.0034 0.0065	0.001514 -0.005864 -0.004000
2015-04-12 13.735991219 100.533934789 74.315 0.0019 0.0038 0.0063	-0.002704 0.002102 0.019000
2015-04-13 13.735991178 100.533934819 74.301 0.0020 0.0036 0.0066	0.000541 -0.002434 0.005000
2015-04-14 13.735991161 100.533934825 74.295 0.0019 0.0029 0.0062	0.001190 -0.004315 -0.001000
2015-04-15 13.735991147 100.533934875 74.297 0.0020 0.0036 0.0067	0.006598 -0.005864 0.001000
2015-04-16 13.735991161 100.533934794 74.298 0.0018 0.0026 0.0061	-0.002163 -0.004315 0.002000
2015-04-17 13.735991172 100.533934822 74.307 0.0017 0.0027 0.0059	0.000865 -0.003098 0.011000
2015-04-18 13.735991175 100.533934792 74.309 0.0020 0.0030 0.0062	-0.002379 -0.002766 0.013000
2015-04-19 13.735991131 100.533934872 74.322 0.0017 0.0026 0.0057	0.006273 -0.007634 0.026000
2015-04-20 13.735991169 100.533934839 74.307 0.0017 0.0028 0.0057	0.002704 -0.003430 0.011000
2015-04-21 13.735991181 100.533934803 74.313 0.0017 0.0026 0.0056	-0.001190 -0.002102 0.017000
2015-04-22 13.735991147 100.533934789 74.326 0.0019 0.0056 0.0062	-0.002704 -0.005864 0.030000
2015-04-23 13.735991150 100.533934775 74.296 0.0018 0.0036 0.0060	-0.004218 -0.005532 -0.000000
2015-04-24 13.735991178 100.533934744 74.303 0.0020 0.0037 0.0060	-0.007571 -0.002434 0.007000
2015-04-25 13.735991153 100.533934756 74.306 0.0019 0.0039 0.0061	-0.006273 -0.005200 0.010000
2015-04-26 13.735991167 100.533934728 74.293 0.0022 0.0049 0.0067	-0.009302 -0.003651 -0.003000
2015-04-27 13.735991133 100.533934750 74.302 0.0020 0.0036 0.0065	-0.006922 -0.007413 0.006000
2015-04-28 13.735991150 100.533934789 74.306 0.0020 0.0036 0.0063	-0.002704 -0.005532 0.010000
2015-04-29 13.735991183 100.533934781 74.304 0.0018 0.0034 0.0060	-0.003569 -0.001881 0.008000
2015-04-30 13.735991144 100.533934789 74.321 0.0017 0.0029 0.0059	-0.002704 -0.006196 0.025000
2015-05-01 13.735991183 100.533934819 74.310 0.0018 0.0030 0.0060	0.000541 -0.001881 0.014000
2015-05-02 13.735991175 100.533934769 74.309 0.0019 0.0031 0.0062	-0.004867 -0.002766 0.013000
2015-05-03 13.735991214 100.533934778 74.323 0.0020 0.0041 0.0061	-0.003894 0.001549 0.027000
2015-05-04 13.735991147 100.533934783 74.321 0.0017 0.0032 0.0057	-0.003353 -0.005864 0.025000
2015-05-05 13.735991133 100.533934778 74.311 0.0020 0.0031 0.0060	-0.003894 -0.007413 0.015000
2015-05-06 13.735991147 100.533934736 74.314 0.0016 0.0028 0.0056	-0.008436 -0.005864 0.018000
2015-05-07 13.735991136 100.533934786 74.315 0.0016 0.0033 0.0056	-0.003028 -0.007081 0.019000
2015-05-08 13.735991136 100.533934769 74.321 0.0016 0.0030 0.0055	-0.004867 -0.007081 0.025000
2015-05-09 13.735991139 100.533934778 74.321 0.0020 0.0035 0.0061	-0.003894 -0.006749 0.025000
2015-05-10 13.735991208 100.533934739 74.299 0.0018 0.0030 0.0060	-0.008112 0.000885 0.003000
2015-05-11 13.735991150 100.533934819 74.318 0.0018 0.0030 0.0058	0.000541 -0.005532 0.022000
2015-05-12 13.735991142 100.533934750 74.321 0.0018 0.0030 0.0057	-0.006922 -0.006417 0.025000
2015-05-13 13.735991164 100.533934792 74.307 0.0019 0.0045 0.0063	-0.002379 -0.003983 0.011000
2015-05-14 13.735991158 100.533934789 74.303 0.0018 0.0032 0.0060	-0.002704 -0.004647 0.007000
2015-05-15 13.735991142 100.533934778 74.300 0.0018 0.0031 0.0061	-0.003894 -0.006417 0.004000
2015-05-16 13.735991161 100.533934814 74.315 0.0020 0.0042 0.0068	-0.000000 -0.004315 0.019000
2015-05-17 13.735991136 100.533934789 74.304 0.0019 0.0030 0.0061	-0.002704 -0.007081 0.008000
2015-05-18 13.735991136 100.533934803 74.301 0.0019 0.0031 0.0062	-0.001190 -0.007081 0.005000
2015-05-19 13.735991161 100.533934814 74.308 0.0019 0.0030 0.0061	0.000000 -0.004315 0.012000
2015-05-20 13.735991158 100.533934817 74.304 0.0019 0.0030 0.0061	0.000324 -0.004647 0.008000
2015-05-21 13.735991161 100.533934839 74.298 0.0018 0.0030 0.0059	0.002704 -0.004315 0.002000
2015-05-22 13.735991164 100.533934822 74.301 0.0018 0.0029 0.0060	0.000865 -0.003983 0.005000
2015-05-23 13.735991158 100.533934811 74.306 0.0018 0.0031 0.0058	-0.000324 -0.004647 0.010000
2015-05-24 13.735991161 100.533934839 74.304 0.0017 0.0028 0.0057	0.002704 -0.004315 0.008000
2015-05-25 13.735991161 100.533934831 74.305 0.0018 0.0028 0.0057	0.001839 -0.004315 0.009000
2015-05-26 13.735991167 100.533934825 74.308 0.0018 0.0027 0.0058	0.001190 -0.003651 0.012000
2015-05-27 13.735991142 100.533934808 74.310 0.0018 0.0029 0.0056	-0.000649 -0.006417 0.014000
2015-05-28 13.735991131 100.533934803 74.307 0.0019 0.0030 0.0058	-0.001190 -0.007634 0.011000
2015-05-29 13.735991161 100.533934825 74.300 0.0019 0.0031 0.0060	0.001190 -0.004315 0.004000
2015-05-30 13.735991153 100.533934836 74.304 0.0019 0.0031 0.0060	0.002379 -0.005200 0.008000
2015-05-31 13.735991167 100.533934836 74.302 0.0018 0.0032 0.0059	0.002379 -0.003651 0.006000
2015-06-01 13.735991153 100.533934853 74.305 0.0019 0.0030 0.0060	0.004218 -0.005200 0.009000
2015-06-02 13.735991150 100.533934808 74.315 0.0019 0.0029 0.0059	-0.000649 -0.005532 0.019000
2015-06-03 13.735991133 100.533934825 74.303 0.0019 0.0030 0.0059	0.001190 -0.007413 0.007000
2015-06-04 13.735991153 100.533934817 74.308 0.0018 0.0030 0.0058	0.000324 -0.005200 0.012000
2015-06-05 13.735991153 100.533934819 74.299 0.0018 0.0035 0.0058	0.000541 -0.005200 0.003000
2015-06-06 13.735991164 100.533934797 74.312 0.0018 0.0029 0.0061	-0.001839 -0.003983 0.016000
2015-06-07 13.735991189 100.533934789 74.328 0.0018 0.0029 0.0061	-0.002704 -0.001217 0.032000
2015-06-08 13.735991172 100.533934822 74.306 0.0018 0.0028 0.0058	0.000865 -0.003098 0.010000
2015-06-09 13.735991147 100.533934889 74.303 0.0018 0.0028 0.0059	0.008112 -0.005864 0.007000
2015-06-10 13.735991133 100.533934889 74.303 0.0018 0.0036 0.0058	0.008112 -0.007413 0.007000
2015-06-11 13.735991144 100.533934897 74.309 0.0019 0.0028 0.0059	0.008977 -0.006196 0.013000
2015-06-12 13.735991125 100.533934858 74.312 0.0019 0.0032 0.0060	0.004759 -0.008298 0.016000
2015-06-13 13.735991164 100.533934861 74.309 0.0020 0.0030 0.0062	0.005083 -0.003983 0.013000
2015-06-14 13.735991128 100.533934886 74.312 0.0020 0.0030 0.0063	0.007787 -0.007966 0.016000
2015-06-15 13.735991150 100.533934864 74.313 0.0019 0.0031 0.0062	0.005408 -0.005532 0.017000
2015-06-16 13.735991181 100.533934908 74.312 0.0019 0.0026 0.0062	0.010167 -0.002102 0.016000
2015-06-17 13.735991178 100.533934881 74.314 0.0020 0.0030 0.0064	0.007247 -0.002434 0.018000
2015-06-18 13.735991156 100.533934900 74.311 0.0019 0.0030 0.0063	0.009302 -0.004868 0.015000
2015-06-19 13.735991167 100.533934922 74.305 0.0020 0.0032 0.0063	0.011681 -0.003651 0.009000
2015-06-20 13.735991178 100.533934889 74.313 0.0020 0.0029 0.0062	0.008112 -0.002434 0.017000
2015-06-21 13.735991150 100.533934861 74.310 0.0019 0.0029 0.0063	0.005083 -0.005532 0.014000
2015-06-22 13.735991144 100.533934867 74.311 0.0020 0.0028 0.0063	0.005732 -0.006196 0.015000
2015-06-23 13.735991142 100.533934875 74.305 0.0019 0.0028 0.0063	0.006598 -0.006417 0.009000
2015-06-24 13.735991156 100.533934856 74.307 0.0019 0.0028 0.0063	0.004543 -0.004868 0.011000
2015-06-25 13.735991156 100.533934881 74.307 0.0020 0.0037 0.0062	0.007247 -0.004868 0.011000
2015-06-26 13.735991147 100.533934836 74.305 0.0019 0.0030 0.0063	0.002379 -0.005864 0.009000
2015-06-27 13.735991142 100.533934875 74.299 0.0020 0.0031 0.0063	0.006598 -0.006417 0.003000
2015-06-28 13.735991153 100.533934878 74.299 0.0020 0.0031 0.0063	0.006922 -0.005200 0.003000
2015-06-29 13.735991139 100.533934872 74.302 0.0020 0.0029 0.0063	0.006273 -0.006749 0.006000
2015-06-30 13.735991125 100.533934858 74.309 0.0020 0.0028 0.0063	0.004759 -0.008298 0.013000
2015-07-01 13.735991144 100.533934853 74.311 0.0020 0.0029 0.0060	0.004218 -0.006196 0.015000
2015-07-02 13.735991158 100.533934883 74.311 0.0019 0.0028 0.0062	0.007463 -0.004647 0.015000
2015-07-03 13.735991156 100.533934897 74.309 0.0020 0.0035 0.0065	0.008977 -0.004868 0.013000
2015-07-04 13.735991128 100.533934894 74.305 0.0020 0.0029 0.0063	0.008653 -0.007966 0.009000
2015-07-05 13.735991142 100.533934892 74.301 0.0020 0.0029 0.0064	0.008436 -0.006417 0.005000
2015-07-06 13.735991133 100.533934886 74.300 0.0020 0.0029 0.0062	0.007787 -0.007413 0.004000
2015-07-07 13.735991131 100.533934889 74.300 0.0019 0.0026 0.0059	0.008112 -0.007634 0.004000
2015-07-08 13.735991136 100.533934878 74.308 0.0020 0.0029 0.0063	0.006922 -0.007081 0.012000
2015-07-09 13.735991128 100.533934864 74.307 0.0020 0.0026 0.0064	0.005408 -0.007966 0.011000
2015-07-10 13.735991133 100.533934892 74.312 0.0019 0.0029 0.0063	0.008436 -0.007413 0.016000
2015-07-11 13.735991142 100.533934867 74.306 0.0019 0.0028 0.0062	0.005732 -0.006417 0.010000
2015-07-12 13.735991119 100.533934864 74.305 0.0020 0.0035 0.0063	0.005408 -0.008962 0.009000
2015-07-13 13.735991128 100.533934886 74.307 0.0019 0.0028 0.0062	0.007787 -0.007966 0.011000
2015-07-14 13.735991139 100.533934878 74.305 0.0019 0.0028 0.0060	0.006922 -0.006749 0.009000
2015-07-15 13.735991136 100.533934875 74.304 0.0020 0.0034 0.0061	0.006598 -0.007081 0.008000
2015-07-16 13.735991150 100.533934892 74.307 0.0019 0.0024 0.0062	0.008436 -0.005532 0.011000
2015-07-17 13.735991144 100.533934892 74.306 0.0019 0.0026 0.0062	0.008436 -0.006196 0.010000
